a,b,n_full,n_margin,effect_full,effect_margin,delta,abs_delta,sign_flip
GPT-4 Turbo (Inspect),o3 (Inspect),157,60,-0.481104033970276,-0.7311111111111112,-0.25000707714083514,0.25000707714083514,False
GPT-4o (Inspect),GPT-5 (Inspect),157,60,-0.4431383902721482,-0.7383333333333333,-0.2951949430611851,0.2951949430611851,False
GPT-4o (Inspect),GPT-5.1-Codex-Max (Inspect),157,60,-0.4654989384288748,-0.7472222222222222,-0.28172328379334743,0.28172328379334743,False
GPT-4o (Inspect),GPT-5.2,157,60,-0.5199044585987261,-0.81875,-0.29884554140127384,0.29884554140127384,False
GPT-4o (Inspect),GPT-5.3-Codex,157,60,-0.5082271762208068,-0.7708333333333334,-0.26260615711252655,0.26260615711252655,False
GPT-4o (Inspect),Gemini 3 Pro,157,60,-0.46337579617834396,-0.7625,-0.299124203821656,0.299124203821656,False
GPT-4o (Inspect),human,117,42,-0.3546420304666182,-0.5443652748455703,-0.1897232443789521,0.1897232443789521,False
GPT-4o (Inspect),o1 (Inspect),157,60,-0.25477707006369427,-0.3333333333333333,-0.07855626326963905,0.07855626326963905,False
GPT-4o (Inspect),o1-preview,142,54,-0.15564218645204558,-0.14781746031746032,0.007824726134585264,0.007824726134585264,False
GPT-4o (Inspect),o3 (Inspect),157,60,-0.3961783439490446,-0.6366666666666667,-0.2404883227176221,0.2404883227176221,False
GPT-5 (Inspect),GPT-5.1-Codex-Max (Inspect),157,60,-0.0223605481567265,-0.00888888888888889,0.01347165926783761,0.01347165926783761,False
GPT-5 (Inspect),GPT-5.2,157,60,-0.07676606832657788,-0.08041666666666666,-0.0036505983400887815,0.0036505983400887815,False
GPT-5 (Inspect),GPT-5.3-Codex,157,60,-0.06508878594865856,-0.032499999999999994,0.03258878594865857,0.03258878594865857,False
GPT-5 (Inspect),Gemini 3 Pro,157,60,-0.020237405906195716,-0.02416666666666667,-0.003929260760470954,0.003929260760470954,False
GPT-5 (Inspect),human,117,42,0.08358640776182007,0.18777758229728672,0.10419117453546665,0.10419117453546665,False
GPT-5 (Inspect),o1 (Inspect),157,60,0.18836132020845395,0.405,0.21663867979154608,0.21663867979154608,False
GPT-5 (Inspect),o1-preview,142,54,0.2899403999756113,0.5697751322751322,0.27983473229952094,0.27983473229952094,False
GPT-5 (Inspect),o3 (Inspect),157,60,0.046960046323103646,0.10166666666666666,0.05470662034356301,0.05470662034356301,False
GPT-5.1-Codex-Max (Inspect),GPT-5.2,157,60,-0.054405520169851375,-0.07152777777777777,-0.0171222576079264,0.0171222576079264,False
GPT-5.1-Codex-Max (Inspect),GPT-5.3-Codex,157,60,-0.04272823779193205,-0.023611111111111107,0.019117126680820943,0.019117126680820943,False
GPT-5.1-Codex-Max (Inspect),Gemini 3 Pro,157,60,0.0021231422505307864,-0.015277777777777774,-0.01740092002830856,0.01740092002830856,True
GPT-5.1-Codex-Max (Inspect),human,117,42,0.11900469318010548,0.23738075690046134,0.11837606372035586,0.11837606372035586,False
GPT-5.1-Codex-Max (Inspect),o1 (Inspect),157,60,0.21072186836518048,0.4138888888888889,0.20316702052370844,0.20316702052370844,False
GPT-5.1-Codex-Max (Inspect),o1-preview,142,54,0.312667672702884,0.5744047619047619,0.2617370892018779,0.2617370892018779,False
GPT-5.1-Codex-Max (Inspect),o3 (Inspect),157,60,0.06932059447983016,0.11055555555555557,0.04123496107572541,0.04123496107572541,False
GPT-5.2,GPT-5.3-Codex,157,60,0.011677282377919321,0.04791666666666667,0.036239384288747345,0.036239384288747345,False
GPT-5.2,Gemini 3 Pro,157,60,0.05652866242038217,0.05625,-0.00027866242038216554,0.00027866242038216554,False
GPT-5.2,human,117,42,0.16779386696927928,0.2919442489639534,0.1241503819946741,0.1241503819946741,False
